index,claim_no,pred_time,dev_time,cal_time,paid,ocl
0,1,9,0.0,8.15236594382756,0,29310
1,1,10,0.0,8.15236594382756,0,29310
2,1,11,0.0,8.15236594382756,0,29310
3,1,12,0.0,8.15236594382756,0,29310
3,1,12,2.96306345864191,11.1154294024695,2602,26708
4,1,13,0.0,8.15236594382756,0,29310
4,1,13,2.96306345864191,11.1154294024695,2602,26708
5,1,14,0.0,8.15236594382756,0,29310
5,1,14,2.96306345864191,11.1154294024695,2602,26708
6,1,15,0.0,8.15236594382756,0,29310
6,1,15,2.96306345864191,11.1154294024695,2602,26708
6,1,15,5.88735220570067,14.0397181495282,5006,21902
7,1,16,0.0,8.15236594382756,0,29310
7,1,16,2.96306345864191,11.1154294024695,2602,26708
7,1,16,5.88735220570067,14.0397181495282,5006,21902
7,1,16,7.34913512735273,15.5015010711803,21542,1542
8,1,17,0.0,8.15236594382756,0,29310
8,1,17,2.96306345864191,11.1154294024695,2602,26708
8,1,17,5.88735220570067,14.0397181495282,5006,21902
8,1,17,7.34913512735273,15.5015010711803,21542,1542
9,2,1,0.0,0.843214781213534,0,29712
10,2,2,0.0,0.843214781213534,0,29712
11,2,3,0.0,0.843214781213534,0,29712
12,2,4,0.0,0.843214781213534,0,29712
12,2,4,2.35316734707638,3.19638212828992,2411,34237
13,2,5,0.0,0.843214781213534,0,29712
13,2,5,2.35316734707638,3.19638212828992,2411,34237
13,2,5,3.52403068251762,4.36724546373116,4991,30931
14,2,6,0.0,0.843214781213534,0,29712
14,2,6,2.35316734707638,3.19638212828992,2411,34237
14,2,6,3.52403068251762,4.36724546373116,4991,30931
14,2,6,4.31636059573183,5.15957537694537,8049,28868
15,2,7,0.0,0.843214781213534,0,29712
15,2,7,2.35316734707638,3.19638212828992,2411,34237
15,2,7,3.52403068251762,4.36724546373116,4991,30931
15,2,7,4.31636059573183,5.15957537694537,8049,28868
16,2,8,0.0,0.843214781213534,0,29712
16,2,8,2.35316734707638,3.19638212828992,2411,34237
16,2,8,3.52403068251762,4.36724546373116,4991,30931
16,2,8,4.31636059573183,5.15957537694537,8049,28868
16,2,8,7.11395991683699,7.95717469805052,34386,2531
17,2,9,0.0,0.843214781213534,0,29712
17,2,9,2.35316734707638,3.19638212828992,2411,34237
17,2,9,3.52403068251762,4.36724546373116,4991,30931
17,2,9,4.31636059573183,5.15957537694537,8049,28868
17,2,9,7.11395991683699,7.95717469805052,34386,2531
18,3,2,0.0,1.82191016137317,0,47561
19,3,3,0.0,1.82191016137317,0,47561
20,3,4,0.0,1.82191016137317,0,47561
21,3,5,0.0,1.82191016137317,0,47561
21,3,5,2.32277625043491,4.14468641180808,2805,56408
22,3,6,0.0,1.82191016137317,0,47561
22,3,6,2.32277625043491,4.14468641180808,2805,56408
23,3,7,0.0,1.82191016137317,0,47561
23,3,7,2.32277625043491,4.14468641180808,2805,56408
24,3,8,0.0,1.82191016137317,0,47561
24,3,8,2.32277625043491,4.14468641180808,2805,56408
24,3,8,5.31836876905827,7.14027893043144,5528,64757
25,3,9,0.0,1.82191016137317,0,47561
25,3,9,2.32277625043491,4.14468641180808,2805,56408
25,3,9,5.31836876905827,7.14027893043144,5528,64757
26,3,10,0.0,1.82191016137317,0,47561
26,3,10,2.32277625043491,4.14468641180808,2805,56408
26,3,10,5.31836876905827,7.14027893043144,5528,64757
27,3,11,0.0,1.82191016137317,0,47561
27,3,11,2.32277625043491,4.14468641180808,2805,56408
27,3,11,5.31836876905827,7.14027893043144,5528,64757
28,3,12,0.0,1.82191016137317,0,47561
28,3,12,2.32277625043491,4.14468641180808,2805,56408
28,3,12,5.31836876905827,7.14027893043144,5528,64757
29,3,13,0.0,1.82191016137317,0,47561
29,3,13,2.32277625043491,4.14468641180808,2805,56408
29,3,13,5.31836876905827,7.14027893043144,5528,64757
30,3,14,0.0,1.82191016137317,0,47561
30,3,14,2.32277625043491,4.14468641180808,2805,56408
30,3,14,5.31836876905827,7.14027893043144,5528,64757
30,3,14,11.3796207800708,13.201530941444,7995,59757
31,3,15,0.0,1.82191016137317,0,47561
31,3,15,2.32277625043491,4.14468641180808,2805,56408
31,3,15,5.31836876905827,7.14027893043144,5528,64757
31,3,15,11.3796207800708,13.201530941444,7995,59757
32,3,16,0.0,1.82191016137317,0,47561
32,3,16,2.32277625043491,4.14468641180808,2805,56408
32,3,16,5.31836876905827,7.14027893043144,5528,64757
32,3,16,11.3796207800708,13.201530941444,7995,59757
32,3,16,14.1225383822232,15.9444485435964,10819,47716
33,3,17,0.0,1.82191016137317,0,47561
33,3,17,2.32277625043491,4.14468641180808,2805,56408
33,3,17,5.31836876905827,7.14027893043144,5528,64757
33,3,17,11.3796207800708,13.201530941444,7995,59757
33,3,17,14.1225383822232,15.9444485435964,10819,47716
34,3,18,0.0,1.82191016137317,0,47561
34,3,18,2.32277625043491,4.14468641180808,2805,56408
34,3,18,5.31836876905827,7.14027893043144,5528,64757
34,3,18,11.3796207800708,13.201530941444,7995,59757
34,3,18,14.1225383822232,15.9444485435964,10819,47716
35,3,19,0.0,1.82191016137317,0,47561
35,3,19,2.32277625043491,4.14468641180808,2805,56408
35,3,19,5.31836876905827,7.14027893043144,5528,64757
35,3,19,11.3796207800708,13.201530941444,7995,59757
35,3,19,14.1225383822232,15.9444485435964,10819,47716
36,3,20,0.0,1.82191016137317,0,47561
36,3,20,2.32277625043491,4.14468641180808,2805,56408
36,3,20,5.31836876905827,7.14027893043144,5528,64757
36,3,20,11.3796207800708,13.201530941444,7995,59757
36,3,20,14.1225383822232,15.9444485435964,10819,47716
37,3,21,0.0,1.82191016137317,0,47561
37,3,21,2.32277625043491,4.14468641180808,2805,56408
37,3,21,5.31836876905827,7.14027893043144,5528,64757
37,3,21,11.3796207800708,13.201530941444,7995,59757
37,3,21,14.1225383822232,15.9444485435964,10819,47716
38,3,22,0.0,1.82191016137317,0,47561
38,3,22,2.32277625043491,4.14468641180808,2805,56408
